"Analysis","n","F_Statistic","p_value","Eta_Squared","Omega_Squared","Brown_Forsythe_F","Brown_Forsythe_p"
"Primary complete-data product ANOVA",3116,0.382114426464868,0.765906517282898,0.000368226595537119,0,0.13489714710861,0.939263635060132
"High-volume orders temporarily excluded",3075,0.529034569004389,0.662351965781957,0.000516536603664826,0,0.552694599265149,0.64633239761048
"Post-April-2025 regime only",2014,0.290105670957562,0.832577684168559,0.000432806136482005,0,1.01659128768091,0.384250140750983
