"Product_Name","Count","Mean","Median","Std_Dev","Variance","Minimum","Q1","Q3","IQR","Maximum","Skewness"
"Dark Matrix",670,230.029850746269,202,183.546157499178,33689.1919327131,23,66,356,290,984,0.907829065664237
"Kennedy",851,227.887191539365,208,180.281326462406,32501.3566710444,23,58,356.5,298.5,998,1.00991057342282
"Mesmerose",975,221.401025641026,195,182.866419865287,33440.1275143474,23,37,356,319,998,1.00306685785792
"Secret Ambrosia",620,228.858064516129,196,190.857894465833,36426.7358799312,23,67.5,340.25,272.75,989,1.25450246062515
