"Alpha","Lambda","Mean_MAE","SD_MAE","Mean_RMSE","SD_RMSE","Mean_R2","SD_R2"
0.75,9.81708691207616,114.739026096396,6.27236289871634,135.853155015893,5.62407662787724,0.302214678549381,0.0821780342762899
0.75,8.73674629509341,114.753708076561,6.26196882127263,135.874416203494,5.61175263195442,0.302020197172095,0.0819049178321888
0.5,13.1051194426401,114.791646853166,6.2270574432571,135.887220267433,5.56161013656299,0.30197380070048,0.0808416736605009
0.75,11.0310168321337,114.764789671384,6.23142632957214,135.888479240327,5.59714120286462,0.301840472848572,0.0823053450403858
0.5,14.7256303681142,114.7896586082,6.22120344786844,135.893180601873,5.55328357714791,0.301911561526697,0.0808373917165041
0.5,11.6629408257962,114.825304873089,6.20173212830694,135.93118095769,5.53021264519434,0.301551063185404,0.0805061547395371
0.75,7.77529388386414,114.806797817221,6.21564995159148,135.943078472717,5.55918227197053,0.301364531605426,0.081317018188605
0.75,12.3950550138384,114.855808512804,6.18296969846534,135.948114770403,5.54470839571308,0.301283265882972,0.0816434891160195
0.5,16.5465252482005,114.824425487153,6.17493424297502,135.953318965993,5.50457005069955,0.301319459230148,0.0805095816776397
0.75,17.5851951752752,114.907715238329,6.21317828465291,135.96324215186,5.64626197707812,0.301183188529945,0.0812112276955918
0.75,19.7596889700747,114.927377139003,6.20261389407771,135.972063350021,5.72151299367176,0.301077217033294,0.0815226812058231
0.75,15.6499978223772,114.924232048728,6.18278461521941,135.981890433966,5.57224151638486,0.301007534942908,0.0809193746620219
0.75,13.9277630642834,114.939417239998,6.15705602541922,136.016990986999,5.49842111489079,0.300665802000985,0.0806024530562874
0.5,10.3794695883078,114.933612810222,6.1309695759997,136.020864538463,5.46256191458591,0.300676490559595,0.0799377435027121
0.5,18.5925825207576,114.921489789902,6.12210293528183,136.052524815693,5.43154942768944,0.300381351664546,0.0795197663695806
0.75,6.91964639220518,114.929130274752,6.13530758176301,136.052791308923,5.47365685234,0.300301780397696,0.0805327400590849
0.25,23.3258816515924,114.922080939395,6.11696998160471,136.055296150336,5.42055618472554,0.300486688906099,0.0779113438441779
0.25,20.7589391766155,114.996068189136,6.07819573030463,136.067254226586,5.39821516091209,0.300363042828334,0.0779119626478005
0.75,22.2030693604732,114.997021608891,6.15155416213735,136.082754669151,5.69308353638567,0.300013950440297,0.0806886482858019
0.25,26.2102388852802,114.908873333013,6.1192125223132,136.102617392415,5.40235884601472,0.300026187770106,0.0775850800124315
0.25,18.4744809295988,115.091015521086,6.02219705750494,136.121992912665,5.34684477726162,0.299827274499433,0.0775598974018932
0.5,20.8916445964251,114.993900093908,6.10745039019686,136.139726525772,5.40205331069841,0.299563969236425,0.0786205048125277
0.5,9.23724046479941,115.058100390841,6.06428723980851,136.14375812139,5.373124393305,0.299473162730064,0.0791986317475768
0.5,23.4749967335658,115.00070228609,6.11508206321564,136.161359766881,5.45629952061791,0.299347992901934,0.0786525288112717
0.75,6.15816030986628,115.057018021292,6.06885973399966,136.190732551692,5.37047960488911,0.298957799451223,0.0796180325415341
0.25,29.4512607362285,114.924803422268,6.09604988215293,136.207230946507,5.35492627275104,0.298999096485699,0.0769801167989772
0.25,16.4414203786764,115.1778005027,5.9902481316823,136.210700387068,5.28028399023761,0.298944365148634,0.0771861635371281
0.5,26.3777927629127,115.053879896371,6.0904903040747,136.213607402404,5.50726344822249,0.2988237033068,0.0786209078590772
0.75,24.9485854647093,115.096479165727,6.09502649757611,136.269817201748,5.61506349664765,0.298212058471719,0.0792437307401436
0.5,8.22071018933821,115.163926152324,6.02414175021352,136.28214838589,5.2769658368619,0.298116639266719,0.0783670341594254
0.5,29.6395334551121,115.115759642382,6.07647785429484,136.309471377354,5.55587379098649,0.297855801268376,0.0785556320180886
