"Model","Train_MAE","Train_RMSE","Train_R2","Test_MAE","Test_RMSE","Test_R2","AIC","Adjusted_R2","Tuning"
"Reduced MLR",119.46884732482,140.800465579381,0.318380389659885,116.840325996717,137.948202984901,0.398721771023948,20383.3707429365,0.314088074733311,"Training-only specification comparison"
"Poisson GLM",119.394642190587,140.722467662755,0.319135361366628,117.04433295772,138.267889145091,0.395931693977093,121946.320757216,NA,"None"
"Negative Binomial GLM",119.405855804535,140.771585881465,0.318659976088233,116.977278715364,138.269361698869,0.395918827247028,20375.2912322975,NA,"Poisson overdispersion motivated NB comparison"
"Elastic Net Regression",120.178675854456,141.332093199004,0.313223419263413,116.942797660517,138.836393035775,0.390954093186256,NA,NA,"Alpha = 0.75; Lambda = 9.81709"
"LASSO Regression",120.469946091426,141.928060483591,0.307419226848241,117.740702800262,140.053456452284,0.380229290753351,NA,NA,"Lambda = 14.8198"
"Ridge Regression",119.505948435418,141.183417011206,0.314667586897247,119.514370331638,142.203719774505,0.361052319205144,NA,NA,"Lambda = 38.776"
"Training Mean Baseline",133.965969193535,170.5426678629,0,137.060839229338,178.342129967929,-0.00496580058564056,NA,NA,"None"
