"Model","Components","Test_MAE","Test_RMSE","Test_R2"
"Reduced MLR - Task 5",NA,116.840325996717,137.948202984901,0.398721771023948
"PCR - 95% Variance (19 PCs)",19,118.107449128357,139.663172238144,0.383678683575691
"PCR - All PCs (22 PCs)",22,118.14984224015,140.187826518928,0.379039479616908
"PCR - 90% Variance (17 PCs)",17,133.44568210935,166.157245493892,0.127667702202251
"PCR - 80% Variance (15 PCs)",15,135.330837020042,169.043000172405,0.0971039182506744
"Training Mean Baseline",NA,137.060839229338,178.342129967929,-0.00496580058564056
