"Model","Prior_SD","Test_MAE","Test_RMSE","Test_R2"
"Reduced MLR - Task 5",NA,116.840325996717,137.948202984901,0.398721771023948
"Normal-Prior Regression SD=25",25,118.824046990472,141.33795475365,0.368808721380591
"Normal-Prior Regression SD=50",50,117.258110301575,138.658765353905,0.392511526437442
"Normal-Prior Regression SD=100",100,116.935406275096,138.109993015762,0.397310547562754
"Normal-Prior Regression SD=250",250,116.853948508721,137.97323820808,0.398503507932846
"Normal-Prior Regression SD=1000",1000,116.841112254421,137.949744027146,0.398708336991356
